studyId	sampleId	label_1	label_2	label_3	llabel	s_type	n_reads	n_reads2	n_issues	foodId	description	L1	L4	L6	nature	process	spoilage	target1	target2	biosample	SRA_sample	geo_loc_country	geo_loc_continent	lat_lon	matchId	L2	L3
ST239	14049	SA14049	s.ERR4554125	SAMEA7280825_A01BQ	A01BQinfd	Sample	18220	18220	0	A01BQ	Nyons fermented Olive fruit ITS_R1D42C1_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280825	SAMEA7280825	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14050	SA14050	s.ERR4554126	SAMEA7280826_A01BQ	A01BQinfd	Sample	16928	16928	0	A01BQ	Nyons fermented Olive fruit ITS_R1D42C3_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280826	SAMEA7280826	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14051	SA14051	s.ERR4554127	SAMEA7280827_A01BQ	A01BQinfd	Environment	26847	26847	0	A01BQ	Nyons olive fermentation brine ITS_R1D42B1_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280827	SAMEA7280827	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14052	SA14052	s.ERR4554128	SAMEA7280828_A01BQ	A01BQinfd	Environment	19452	19452	0	A01BQ	Nyons olive fermentation brine ITS_R1D42B2_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280828	SAMEA7280828	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14053	SA14053	s.ERR4554129	SAMEA7280829_A01BQ	A01BQinfd	Environment	27789	27789	0	A01BQ	Nyons olive fermentation brine ITS_R1D42B3_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280829	SAMEA7280829	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14054	SA14054	s.ERR4554130	SAMEA7280830_A01BQ	A01BQinfd	Environment	27107	27107	0	A01BQ	Nyons olive fermentation brine ITS_R1D42C1_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280830	SAMEA7280830	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14055	SA14055	s.ERR4554131	SAMEA7280831_A01BQ	A01BQinfd	Environment	27816	27816	0	A01BQ	Nyons olive fermentation brine ITS_R1D42C2_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280831	SAMEA7280831	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14056	SA14056	s.ERR4554132	SAMEA7280832_A01BQ	A01BQinfd	Environment	19813	19813	0	A01BQ	Nyons olive fermentation brine ITS_R1D42C3_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280832	SAMEA7280832	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14057	SA14057	s.ERR4554133	SAMEA7280833_A01BQ	A01BQinfd	Sample	23897	23897	0	A01BQ	Nyons fermented Olive fruit ITS_R1D21B1_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280833	SAMEA7280833	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14058	SA14058	s.ERR4554134	SAMEA7280834_A01BQ	A01BQinfd	Sample	10897	10897	0	A01BQ	Nyons fermented Olive fruit ITS_R1D21B2_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280834	SAMEA7280834	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14059	SA14059	s.ERR4554135	SAMEA7280835_A01BQ	A01BQinfd	Sample	18692	18692	0	A01BQ	Nyons fermented Olive fruit ITS_R1D21B3_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280835	SAMEA7280835	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14060	SA14060	s.ERR4554136	SAMEA7280836_A01BQ	A01BQinfd	Sample	11913	11913	0	A01BQ	Nyons fermented Olive fruit ITS_R1D21C1_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280836	SAMEA7280836	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14061	SA14061	s.ERR4554137	SAMEA7280837_A01BQ	A01BQinfd	Sample	15250	15250	0	A01BQ	Nyons fermented Olive fruit ITS_R1D21C2_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280837	SAMEA7280837	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14062	SA14062	s.ERR4554138	SAMEA7280838_A01BQ	A01BQinfd	Sample	31644	31644	0	A01BQ	Nyons fermented Olive fruit ITS_R1D21C3_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280838	SAMEA7280838	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14063	SA14063	s.ERR4554139	SAMEA7280839_A01BQ	A01BQinfd	Environment	21538	21538	0	A01BQ	Nyons olive fermentation brine ITS_R1D21B1_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280839	SAMEA7280839	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST239	14064	SA14064	s.ERR4554140	SAMEA7280840_A01BQ	A01BQinfd	Environment	21543	21543	0	A01BQ	Nyons olive fermentation brine ITS_R1D21B2_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	ITS_DNA	ITS2	SAMEA7280840	SAMEA7280840	France	Europe	44?21'35.7N 5?07'48.8E	NA	Processed fruit products	Other processed fruit products (excluding beverages)
