studyId	sampleId	label_1	label_2	label_3	llabel	s_type	n_reads	n_reads2	n_issues	foodId	description	L1	L4	L6	nature	process	spoilage	target1	target2	biosample	SRA_sample	geo_loc_country	geo_loc_continent	lat_lon	L2	L3
ST141	7725	SA7725	s.ERR4553148	s.ERR4553148_A01BQ	A01BQ000d	Environment	28911	28911	0	A01BQ	Nyons olive fermentation brine R2D120B3_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280035	SAMEA7280035	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7726	SA7726	s.ERR4553149	s.ERR4553149_A01BQ	A01BQ000d	Environment	29610	29610	0	A01BQ	Nyons olive fermentation brine R2D120C1_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280036	SAMEA7280036	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7727	SA7727	s.ERR4553150	s.ERR4553150_A01BQ	A01BQ000d	Environment	37271	37271	0	A01BQ	Nyons olive fermentation brine R2D120C2_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280037	SAMEA7280037	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7728	SA7728	s.ERR4553151	s.ERR4553151_A01BQ	A01BQ000d	Environment	30614	30614	0	A01BQ	Nyons olive fermentation brine R2D120C3_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280038	SAMEA7280038	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7729	SA7729	s.ERR4553152	s.ERR4553152_A01BQ	A01BQinfd	Sample	364	364	2	A01BQ	Nyons fermented Olive fruit R2D64B1_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280039	SAMEA7280039	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7730	SA7730	s.ERR4553153	s.ERR4553153_A01BQ	A01BQinfd	Sample	3869	3869	1	A01BQ	Nyons fermented Olive fruit R2D64B2_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280040	SAMEA7280040	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7731	SA7731	s.ERR4553154	s.ERR4553154_A01BQ	A01BQinfd	Sample	2937	2937	2	A01BQ	Nyons fermented Olive fruit R2D64B3_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280041	SAMEA7280041	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7732	SA7732	s.ERR4553155	s.ERR4553155_A01BQ	A01BQinfd	Sample	274	274	2	A01BQ	Nyons fermented Olive fruit R2D64C1_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280042	SAMEA7280042	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7733	SA7733	s.ERR4553156	s.ERR4553156_A01BQ	A01BQinfd	Sample	1123	1123	2	A01BQ	Nyons fermented Olive fruit R2D64C2_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280043	SAMEA7280043	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7734	SA7734	s.ERR4553157	s.ERR4553157_A01BQ	A01BQinfd	Sample	64	64	2	A01BQ	Nyons fermented Olive fruit R2D64C3_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280044	SAMEA7280044	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7735	SA7735	s.ERR4553158	s.ERR4553158_A01BQ	A01BQ000d	Environment	26402	26402	0	A01BQ	Nyons olive fermentation brine R2D64B1_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280045	SAMEA7280045	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7736	SA7736	s.ERR4553159	s.ERR4553159_A01BQ	A01BQ000d	Environment	24417	24417	0	A01BQ	Nyons olive fermentation brine R2D64B2_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280046	SAMEA7280046	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7737	SA7737	s.ERR4553160	s.ERR4553160_A01BQ	A01BQ000d	Environment	28316	28316	0	A01BQ	Nyons olive fermentation brine R2D64B3_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280047	SAMEA7280047	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7738	SA7738	s.ERR4553161	s.ERR4553161_A01BQ	A01BQ000d	Environment	28679	28679	0	A01BQ	Nyons olive fermentation brine R2D64C1_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280048	SAMEA7280048	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7739	SA7739	s.ERR4553162	s.ERR4553162_A01BQ	A01BQ000d	Environment	37621	37621	0	A01BQ	Nyons olive fermentation brine R2D64C2_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280049	SAMEA7280049	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7740	SA7740	s.ERR4553163	s.ERR4553163_A01BQ	A01BQ000d	Environment	360	360	2	A01BQ	Nyons olive fermentation brine R2D64C3_S	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	NA	NA	NA	16S_DNA	V3-V4	SAMEA7280050	SAMEA7280050	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7741	SA7741	s.ERR4553164	s.ERR4553164_A01BQ	A01BQinfd	Sample	1255	1255	2	A01BQ	Nyons fermented Olive fruit R2D42B1_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280051	SAMEA7280051	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7742	SA7742	s.ERR4553165	s.ERR4553165_A01BQ	A01BQinfd	Sample	1301	1301	2	A01BQ	Nyons fermented Olive fruit R2D42B2_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280052	SAMEA7280052	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7743	SA7743	s.ERR4553166	s.ERR4553166_A01BQ	A01BQinfd	Sample	801	801	2	A01BQ	Nyons fermented Olive fruit R2D42B3_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280053	SAMEA7280053	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
ST141	7744	SA7744	s.ERR4553167	s.ERR4553167_A01BQ	A01BQinfd	Sample	1273	1273	2	A01BQ	Nyons fermented Olive fruit R2D42C1_O	Fruit and fruit products	Fermented fruit products	Table olives ready for consumption	Intermediate	None	Fermented	16S_DNA	V3-V4	SAMEA7280054	SAMEA7280054	France	Europe	NA	Processed fruit products	Other processed fruit products (excluding beverages)
